name,affiliation,country,dept,year,homepage
Brian C. Nelson ,Arizona State University,usa,#N/A,#N/A,https://webapp4.asu.edu/directory/person/841981/
Carole-Jean Wu ,Arizona State University,usa,arch,2011,http://faculty.engineering.asu.edu/carolewu/
Charles J. Colbourn ,Arizona State University,usa,da,2006,http://www.public.asu.edu/~ccolbou/
Charles Joseph Colbourn ,Arizona State University,usa,#N/A,#N/A,http://www.public.asu.edu/~ccolbou/
Chitta Baral ,Arizona State University,usa,ai,1993,http://www.public.asu.edu/~cbaral/
Erin Walker ,Arizona State University,usa,chi,2012,http://faculty.engineering.asu.edu/ewalker/
Gail-Joon Ahn ,Arizona State University,usa,sec,2013,http://www.public.asu.edu/~gahn1/
Georgios E. Fainekos ,Arizona State University,usa,bed,2009,http://www.public.asu.edu/~gfaineko/
Guoliang Xue ,Arizona State University,usa,comm,2004,https://optimization.asu.edu/
Hanghang Tong ,Arizona State University,usa,ai,2011,https://cidse.engineering.asu.edu/directory/tong-hanghang/
Hasan Davulcu ,Arizona State University,usa,ai,2015,http://www.public.asu.edu/~hdavulcu/
Heni Ben Amor ,Arizona State University,usa,ai,2016,https://cidse.engineering.asu.edu/directory/ben-amor-heni/
Huan Liu ,Arizona State University,usa,ai,1995,http://www.public.asu.edu/~huanliu/
James S. Collofello ,Arizona State University,usa,#N/A,#N/A,https://cidse.engineering.asu.edu/directory/collofello-james/
Jingrui He ,Arizona State University,usa,ai,2007,http://faculty.engineering.asu.edu/jingruihe/
Joohyung Lee ,Arizona State University,usa,ai,2003,http://peace.eas.asu.edu/
K. SelÌ¤uk Candan ,Arizona State University,usa,ai,2008,http://aria.asu.edu/candan/
Kasim SelÌ¤uk Candan ,Arizona State University,usa,#N/A,#N/A,http://aria.asu.edu/candan/
Kurt VanLehn ,Arizona State University,usa,ai,1998,http://www.public.asu.edu/~kvanlehn/
Ming Zhao ,Arizona State University,usa,vision,2008,https://cidse.engineering.asu.edu/directory/zhao-ming/
Mohamed Sarwat ,Arizona State University,usa,mod,2013,http://faculty.engineering.asu.edu/sarwat/
Paolo Papotti ,Arizona State University,usa,mod,2006,http://faculty.engineering.asu.edu/papotti/
Partha Dasgupta ,Arizona State University,usa,hpc,1995,http://cactus.eas.asu.edu/partha/
Peter Wonka ,Arizona State University,usa,graph,2003,https://cidse.engineering.asu.edu/directory/wonka-peter/
Rida A. Bazzi ,Arizona State University,usa,ops,2009,http://bazzi.faculty.asu.edu/
Sandeep K. S. Gupta ,Arizona State University,usa,hpc,1994,https://cidse.engineering.asu.edu/directory/gupta-sandeep/
Subbarao Kambhampati ,Arizona State University,usa,ai,1989,http://rakaposhi.eas.asu.edu/
Violet R. Syrotiuk ,Arizona State University,usa,mobile,1998,http://www.public.asu.edu/~syrotiuk/
Wei-Tek Tsai ,Arizona State University,usa,sec,1990,https://cidse.engineering.asu.edu/directory/tsai-wei-tek/
Yalin Wang ,Arizona State University,usa,ir,2002,http://gsl.lab.asu.edu/
Yezhou Yang ,Arizona State University,usa,ai,2015,https://yezhouyang.engineering.asu.edu/
Antonis Dimakis ,Athens University of Economics and Business,europe,comm,1999,http://nes.aueb.gr/dimakis.html
Dimitris Gritzalis ,Athens University of Economics and Business,europe,sec,2000,https://www-1.aueb.gr/en/faculty/gritzalis-dimitrios
E. J. Yannakoudakis ,Athens University of Economics and Business,europe,ir,1983,http://www.aueb.gr/Users/yannakoudakis/english/
Emmanouel A. Giakoumakis ,Athens University of Economics and Business,europe,#N/A,#N/A,https://www-1.aueb.gr/en/content/new-rector-athens-university-economics-and-business
Emmanuel J. Yannakoudakis ,Athens University of Economics and Business,europe,#N/A,#N/A,http://www.aueb.gr/Users/yannakoudakis/english/
EugÌ©nie Foustoucos ,Athens University of Economics and Business,europe,#N/A,#N/A,https://uregister-ldap.aueb.gr/en/content/applied-mathematics-informatics-finance-and-operational-research-sector
Evangelos Markakis ,Athens University of Economics and Business,europe,ai,2010,https://www-1.aueb.gr/en/faculty/markakis-evangelos
George C. Polyzos ,Athens University of Economics and Business,europe,comm,1992,https://istd.sutd.edu.sg/news-events/event/seminar-series-istd/seminar-information-centric-networking-overview-and-outlook/
George D. Stamoulis ,Athens University of Economics and Business,europe,comm,1999,http://nes.aueb.gr/users/gs.html
George Xylomenos ,Athens University of Economics and Business,europe,comm,1997,http://pages.cs.aueb.gr/~xgeorge/
