name,affiliation,country,dept,year,homepage
Manish Gupta 0001 ,IIIT Bangalore,australasia,mlmining,2012,http://www.iiitb.ac.in/faculty_page.php?name=ManishGupta/
Neelam Sinha ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=NeelamSinha/
Pradeesha Ashok ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=PradeeshaAshok/
Preeti Mudliar ,IIIT Bangalore,australasia,chi,2015,http://www.iiitb.ac.in/faculty_page.php?name=PreetiMudliar/
Sachit Rao ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=SachitRao/
Shrisha Rao ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=ShrishaRao/
Srinath R. Naidu ,IIIT Bangalore,australasia,da,2003,http://www.iiitb.ac.in/faculty_page.php?name=SrinathRNaidu/
Srinath Srinivasa ,IIIT Bangalore,australasia,mod,2003,http://www.iiitb.ac.in/faculty_page.php?name=SrinathSrinivasa/
Subhajit Sen ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=SubajitSen/
Sujit Kumar Chakrabarti ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=SujitKumarChakrabarti/
T. K. Srikanth ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=TKSrikanth/
Tricha Anjali ,IIIT Bangalore,australasia,comm,2004,http://www.iiitb.ac.in/faculty_page.php?name=TrichaAnjali/
V. N. Muralidhara ,IIIT Bangalore,australasia,act,2009,http://www.iiitb.ac.in/faculty_page.php?name=VNMuralidhara/
V. Ramasubramanian ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=VRamasubramanian/
V. Sridhar ,IIIT Bangalore,australasia,#N/A,#N/A,http://www.iiitb.ac.in/faculty_page.php?name=VSridhar/
A. V. Subramanyam ,IIIT Delhi,australasia,#N/A,#N/A,http://www.iiitd.ac.in/subramanyam/
Amarjeet Singh 0001 ,IIIT Delhi,australasia,ai,2007,https://www.iiitd.ac.in/amarjeet
Arun Balaji Buduru ,IIIT Delhi,australasia,#N/A,#N/A,http://www.iiitd.ac.in/arunb/
Chetan Arora 0001 ,IIIT Delhi,australasia,vision,2000,https://www.iiitd.edu.in/~chetan/
Debajyoti Bera ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.edu.in/~dbera/
Debarka Sengupta ,IIIT Delhi,australasia,#N/A,#N/A,http://iiitd.ac.in/debarka/
Donghoon Chang ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.ac.in/donghoon/
Mayank Vatsa ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.edu.in/~mayank/
Mukulika Maity ,IIIT Delhi,australasia,#N/A,#N/A,http://www.iiitd.ac.in/people/faculty/
Ojaswa Sharma ,IIIT Delhi,australasia,vision,2010,https://www.iiitd.ac.in/ojaswa/
Pankaj Jalote ,IIIT Delhi,australasia,soft,1998,https://www.iiitd.edu.in/~jalote/
Ponnurangam Kumaraguru ,IIIT Delhi,australasia,chi,2007,https://www.iiitd.ac.in/pk/
Pushpendra Singh ,IIIT Delhi,australasia,chi,2015,https://www.iiitd.edu.in/~pushpendra/
Rahul Purandare ,IIIT Delhi,australasia,robotics,2012,https://www.iiitd.edu.in/~purandare/
Rajiv Raman ,IIIT Delhi,australasia,act,2004,https://www.iiitd.ac.in/rajiv/
Rajiv Ratn Shah ,IIIT Delhi,australasia,#N/A,#N/A,https://old.iiitd.ac.in/people/adjunct-visiting/
Richa Singh ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.edu.in/~richa/
Saket Anand ,IIIT Delhi,australasia,vision,2011,https://www.iiitd.ac.in/anands/
Sambuddho Chakravarty ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.ac.in/sambuddho/
Somitra Kumar Sanadhya ,IIIT Delhi,australasia,#N/A,#N/A,http://www.iiitd.ac.in/somitra/
Somitra Sanadhya ,IIIT Delhi,australasia,#N/A,#N/A,http://iiitd.ac.in/somitra/
Venkata M. V. Gunturi ,IIIT Delhi,australasia,#N/A,#N/A,http://faculty.iiitd.ac.in/~gunturi/
Vikram Goyal ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.ac.in/vikram/
Vinayak Naik ,IIIT Delhi,australasia,bed,2005,https://www.iiitd.edu.in/~naik/
Vinayak S. Naik ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.edu.in/~naik/
Vivek Kumar 0001 ,IIIT Delhi,australasia,#N/A,#N/A,https://www.iiitd.ac.in/vivekk/
Abhishek Sarkar ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/abhishek.sarkar/
Anil Kumar Vuppala ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/anilvuppala/
Anoop M. Namboodiri ,IIIT Hyderabad,australasia,vision,2008,http://iiit.ac.in/~anoop/
Ashok Kumar Das ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/ashokkdas/
Avinash Sharma ,IIIT Hyderabad,australasia,vision,2008,https://www.iiit.ac.in/people/faculty/asharma/
C. V. Jawahar ,IIIT Hyderabad,australasia,ai,2012,https://www.iiit.ac.in/~jawahar/
Dipti Misra Sharma ,IIIT Hyderabad,australasia,nlp,2016,https://www.iiit.ac.in/people/faculty/dipti/
Garimella Rama Murthy ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/ramamurthy/
Girish Varma ,IIIT Hyderabad,australasia,act,2012,https://www.iiit.ac.in/people/faculty/girish.varma/
Govindarajulu Regeti ,IIIT Hyderabad,australasia,#N/A,#N/A,https://iiit.ac.in/people/faculty/gregeti/
Jayanthi Sivaswamy ,IIIT Hyderabad,australasia,robotics,2009,https://www.iiit.ac.in/people/faculty/jsivaswamy/
K. Madhava Krishna ,IIIT Hyderabad,australasia,ai,2007,https://www.iiit.ac.in/people/faculty/mkrishna/
K. S. Rajan ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/rajan/
K. Srinathan ,IIIT Hyderabad,australasia,crypt,2004,https://www.iiit.ac.in/people/faculty/srinathan/
Kalluri R. Sarma ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/krsarma/
Kamalakar Karlapalem ,IIIT Hyderabad,australasia,ai,2011,https://www.iiit.ac.in/people/faculty/kamal/
Kannan Srinathan ,IIIT Hyderabad,australasia,act,2008,https://www.iiit.ac.in/people/faculty/srinathan/
Kavita Vemuri ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/kvemuri/
Kishore Kothapalli ,IIIT Hyderabad,australasia,hpc,2009,https://www.iiit.ac.in/people/faculty/kkishore/
Kishore Prahallad ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/kishore/
Krishnan Prasad ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/prasad.krishnan/
Manish Shrivastava ,IIIT Hyderabad,australasia,ai,2017,https://www.iiit.ac.in/people/faculty/m.shrivastava/
Moumita Patra ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/moumita.patra/
Naresh Manwani ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/naresh.manwani/
Nita Parekh ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/nita/
P. J. Narayanan ,IIIT Hyderabad,australasia,hpc,1991,https://www.iiit.ac.in/~pjn/
P. Krishna Reddy ,IIIT Hyderabad,australasia,#N/A,#N/A,http://faculty.iiit.ac.in/~pkreddy/
P. Ubaidulla ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/pubaidulla/
Pawan Kumar ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/pawan.kumar/
Polepalli Krishna Reddy ,IIIT Hyderabad,australasia,#N/A,#N/A,http://faculty.iiit.ac.in/~pkreddy/
Praveen Paruchuri ,IIIT Hyderabad,australasia,ai,2017,https://www.iiit.ac.in/people/faculty/praveen.p/
Priyanka Srivastava ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/priyanka/
R. K. Bagga ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/rbagga/
Radhika Mamidi ,IIIT Hyderabad,australasia,nlp,2016,https://www.iiit.ac.in/people/faculty/radhikamamidi/
Raghu Reddy ,IIIT Hyderabad,australasia,#N/A,#N/A,http://faculty.iiit.ac.in/~raghu.reddy/
Rajeev Sangal ,IIIT Hyderabad,australasia,nlp,1993,https://www.iiit.ac.in/people/faculty/sangal/
Raju S. Bapi ,IIIT Hyderabad,australasia,ai,2007,https://www.iiit.ac.in/people/faculty/rajubapi/
Rama Murthy Garimella ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/ramamurthy/
Ramanathan Subramanian ,IIIT Hyderabad,australasia,chi,2014,http://cvit.iiit.ac.in/people/faculty/people/faculty/cvit-faculty/ramanathan-subramanian/
Rambabu Kalla ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/rambabukalla/
Ramesh Loganathan ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/ramesh.loganathan/
S. Bapi Raju ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/rajubapi/
S. Prahallad Kishore ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/kishore/
Sachin Chaudhari ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/sachin.chaudhari/
Sanjay Rawat 0001 ,IIIT Hyderabad,australasia,sec,2016,https://www.iiit.ac.in/people/faculty/sanjayrawat/
Saswata Shannigrahi ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/saswata.sh/
Shatrunjay Rawat ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/shatrunjay.rawat/
Soma Paul ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/soma/
Subramanian Ramanathan ,IIIT Hyderabad,australasia,comm,1992,https://www.iiit.ac.in/people/faculty/s.ramanathan/
Sujit Gujar ,IIIT Hyderabad,australasia,ai,2010,https://www.iiit.ac.in/people/faculty/sujit.g/
Suresh Purini ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/psuresh/
Suryakanth V. Gangashetty ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/svg/
Syed Azeemuddin ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/azeemuddin/
Vasudeva Varma ,IIIT Hyderabad,australasia,ir,2006,https://www.iiit.ac.in/~vv/Home.html/
Venkatesh Choppella ,IIIT Hyderabad,australasia,chi,2014,https://www.iiit.ac.in/people/faculty/choppell/
Vikram Pudi ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/vikram/
Vineet Gandhi ,IIIT Hyderabad,australasia,robotics,2012,https://www.iiit.ac.in/people/faculty/vgandhi/
Vishal Garg ,IIIT Hyderabad,australasia,#N/A,#N/A,https://www.iiit.ac.in/people/faculty/vishal/
Y. Raghu Reddy ,IIIT Hyderabad,australasia,#N/A,#N/A,http://faculty.iiit.ac.in/~raghu.reddy/
Aditya Kanade ,IISc Bangalore,australasia,ai,2017,http://www.csa.iisc.ac.in/~kanade/
Ambedkar Dukkipati ,IISc Bangalore,australasia,ai,2013,http://www.csa.iisc.ac.in/~ad/
Anand Louis ,IISc Bangalore,australasia,act,2012,http://www.csa.iisc.ac.in/~anand/
Arnab Bhattacharyya ,IISc Bangalore,australasia,act,2009,http://www.csa.iisc.ac.in/~arnabb/
Arpita Patra ,IISc Bangalore,australasia,crypt,2009,http://www.csa.iisc.ac.in/~arpita/
Bhavana Kanukurthi ,IISc Bangalore,australasia,act,2010,http://www.csa.iisc.ac.in/~bhavana/
Chandan Saha 0001 ,IISc Bangalore,australasia,act,2006,http://www.csa.iisc.ac.in/~chandan/
Chiranjib Bhattacharyya ,IISc Bangalore,australasia,ai,2015,http://www.csa.iisc.ac.in/~chiru/
Chiru Bhattacharyya ,IISc Bangalore,australasia,mlmining,2007,http://www.csa.iisc.ac.in/~chiru/
Deepak D'Souza ,IISc Bangalore,australasia,log,2003,http://www.csa.iisc.ac.in/~deepakd/
Dilip P. Patil ,IISc Bangalore,australasia,#N/A,#N/A,http://www.math.iisc.ernet.in/~patil/
Jayant R. Haritsa ,IISc Bangalore,australasia,bed,1990,http://dsl.cds.iisc.ac.in/~haritsa/
K. Gopinath ,IISc Bangalore,australasia,arch,2016,http://www.csa.iisc.ac.in/~gopi/
Kanchi Gopinath ,IISc Bangalore,australasia,metrics,2012,http://www.csa.iisc.ac.in/~gopi/
L. Sunil Chandran ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ac.in/~sunil/
M. Narasimha Murty ,IISc Bangalore,australasia,mlmining,2003,http://www.csa.iisc.ac.in/~mnm/
Matthew J. Thazhuthaveetil ,IISc Bangalore,australasia,arch,2006,http://www.csa.iisc.ac.in/~mjt/
Matthew Thazhuthaveetil ,IISc Bangalore,australasia,arch,1986,http://drona.csa.iisc.ernet.in/~mjt/
Murali Krishna Ramanathan ,IISc Bangalore,australasia,plan,2007,http://www.csa.iisc.ac.in/~muralikrishna/
Musti Narasimha Murty ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ernet.in/people/people-faculty-mnm.html/
N. Viswanadham ,IISc Bangalore,australasia,robotics,1986,http://lcm.csa.iisc.ernet.in/nv/
P. Vijay Kumar ,IISc Bangalore,australasia,#N/A,#N/A,http://ece.iisc.ernet.in/~vijay/
Partha P. Talukdar ,IISc Bangalore,australasia,nlp,2015,http://talukdar.net/
Partha Pratim Talukdar ,IISc Bangalore,australasia,ai,2015,http://talukdar.net/
R. Govindarajan ,IISc Bangalore,australasia,arch,2012,http://www.csa.iisc.ac.in/~govind/
R.C. Hansdah ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ac.in/people/people-faculty-hansdah.html/
Raghavan Komondoor ,IISc Bangalore,australasia,mod,1999,http://www.csa.iisc.ac.in/~raghavan/
Ramaswamy Govindarajan ,IISc Bangalore,australasia,arch,1994,http://www.serc.iisc.ernet.in/~govind/
Ramesh Hariharan ,IISc Bangalore,australasia,act,1992,http://hariharan-ramesh.com/
Sanjit Chatterjee ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ac.in/~sanjit/
Sathish Govindarajan ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ac.in/~gsat/
Shalabh Bhatnagar ,IISc Bangalore,australasia,ai,2015,http://www.csa.iisc.ac.in/~shalabh/
Shirish K. Shevade ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ac.in/~shirish/
Siddharth Barman ,IISc Bangalore,australasia,act,2009,http://www.csa.iisc.ac.in/~barman/
Uday Bondhugula ,IISc Bangalore,australasia,arch,2015,http://www.csa.iisc.ac.in/~uday/
V. Susheela Devi ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ac.in/~susheela/
Vijay Natarajan ,IISc Bangalore,australasia,hpc,2010,http://www.csa.iisc.ac.in/~vijayn/
Y. Narahari ,IISc Bangalore,australasia,ai,2012,http://www.csa.iisc.ac.in/~hari/
Y.N. Srikant ,IISc Bangalore,australasia,#N/A,#N/A,http://www.csa.iisc.ac.in/~srikant/
Yadati Narahari ,IISc Bangalore,australasia,ai,2015,http://lcm.csa.iisc.ernet.in/hari/
Abhiram G. Ranade ,IIT Bombay,australasia,act,1987,https://www.cse.iitb.ac.in/~ranade/
Abhiram Ranade ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~ranade/
Ajit A. Diwan ,IIT Bombay,australasia,mlmining,2007,https://www.cse.iitb.ac.in/~aad/
Ajit Arvind Diwan ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~aad/
Ajit Rajwade ,IIT Bombay,australasia,vision,2006,https://www.cse.iitb.ac.in/~ajitvr/
Amitabha Sanyal ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~as/
Ashutosh Trivedi ,IIT Bombay,australasia,bed,2011,https://www.cse.iitb.ac.in/~trivedi/
Bernard L. Menezes ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~bernard/
Bernard Menezes ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~bernard/
Bharat Adsul ,IIT Bombay,australasia,act,2011,https://www.cse.iitb.ac.in/page14/
Bhaskaran Raman ,IIT Bombay,australasia,comm,2003,http://www.cse.iitk.ac.in/users/braman/
Deepak B. Phatak ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~dbp/
Dhananjay M. Dhamdhere ,IIT Bombay,australasia,plan,1992,https://www.cse.iitb.ac.in/~dmd/
G. Sivakumar ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~siva/
Ganesh Ramakrishnan ,IIT Bombay,australasia,ai,2012,https://www.cse.iitb.ac.in/~ganesh/
J. Saketha Nath ,IIT Bombay,australasia,mlmining,2006,https://www.cse.iitb.ac.in/~saketh/
Jagarlapudi Saketha Nath ,IIT Bombay,australasia,mlmining,2009,https://www.cse.iitb.ac.in/~saketh/
Kameswari Chebrolu ,IIT Bombay,australasia,ir,2006,https://www.cse.iitb.ac.in/~chebrolu/
Kavi Arya ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~kavi/
Krithi Ramamritham ,IIT Bombay,australasia,bed,1985,http://cuse.iitb.ac.in/people/faculty/krithi-ramamritham/
Milind A. Sohoni ,IIT Bombay,australasia,act,2011,https://www.cse.iitb.ac.in/~sohoni/
Mythili Vutukuru ,IIT Bombay,australasia,comm,2006,https://www.cse.iitb.ac.in/~mythili/
Nandlal L. Sarda ,IIT Bombay,australasia,mod,1994,https://www.cse.iitb.ac.in/~nls/
Nutan Limaye ,IIT Bombay,australasia,act,2014,https://www.cse.iitb.ac.in/~nutan/
Om P. Damani ,IIT Bombay,australasia,nlp,2011,https://www.cse.iitb.ac.in/~damani/
Parag Chaudhuri ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~paragc/
Preethi Jyothi ,IIT Bombay,australasia,ai,2015,https://www.cse.iitb.ac.in/~pjyothi/
Puru Kulkarni ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~puru/
Purushottam Kulkarni ,IIT Bombay,australasia,hpc,2012,https://www.cse.iitb.ac.in/~puru/
Pushpak Bhattacharya ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~pb/
Rushikesh Joshi ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~rkj/
Rushikesh K. Joshi ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~rkj/
S. Akshay ,IIT Bombay,australasia,log,2012,https://www.cse.iitb.ac.in/~akshayss/
S. Sudarshan 0001 ,IIT Bombay,australasia,mod,1990,https://www.cse.iitb.ac.in/~sudarsha/
Shankara Narayanan Krishna ,IIT Bombay,australasia,da,2015,https://www.cse.iitb.ac.in/~krishnas/
Sharat Chandran ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~sharat/
Shivaram Kalyanakrishnan ,IIT Bombay,australasia,ai,2016,https://www.cse.iitb.ac.in/~shivaram/
Siddhartha Chaudhuri ,IIT Bombay,australasia,chi,2013,https://www.cse.iitb.ac.in/~sidch/
Soumen Chakrabarti ,IIT Bombay,australasia,act,1995,https://www.cse.iitb.ac.in/~soumen/
Sridhar Iyer ,IIT Bombay,australasia,comm,2006,http://www.it.iitb.ac.in/~sri/
Sundar Vishwanathan ,IIT Bombay,australasia,act,1990,https://www.cse.iitb.ac.in/~sundar/
Sunita Sarawagi ,IIT Bombay,australasia,ai,2016,https://www.cse.iitb.ac.in/~sunita/
Supratik Chakraborty ,IIT Bombay,australasia,act,2010,https://www.cse.iitb.ac.in/~supratik/
Supratim Biswas ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~sb/
Suyash P. Awate ,IIT Bombay,australasia,mlmining,2013,http://www.cs.utah.edu/~suyash/
Uday P. Khedker ,IIT Bombay,australasia,plan,1993,https://www.cse.iitb.ac.in/~uday/
Umesh Bellur ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~umesh/
Varsha Apte ,IIT Bombay,australasia,#N/A,#N/A,https://www.cse.iitb.ac.in/~varsha/
Aaditeshwar Seth ,IIT Delhi,australasia,mobile,2006,http://www.cse.iitd.ernet.in/~aseth/
Amit Kumar 0001 ,IIT Delhi,australasia,act,1999,http://www.cse.iitd.ernet.in/~amitk/
Amitabha Bagchi ,IIT Delhi,australasia,metrics,2006,http://www.cse.iitd.ernet.in/~bagchi/
Anshul Kumar ,IIT Delhi,australasia,arch,1980,http://www.cse.iitd.ernet.in/~anshul/
Huzur Saran ,IIT Delhi,australasia,act,1988,http://www.cse.iitd.ernet.in/~saran/
Kolin Paul ,IIT Delhi,australasia,#N/A,#N/A,http://www.cse.iitd.ernet.in/~kolin/
M. Balakrishnan ,IIT Delhi,australasia,arch,1986,http://www.cse.iitd.ernet.in/~mbala/
Mausam ,IIT Delhi,australasia,ai,2004,http://homes.cs.washington.edu/~mausam/
Maya Ramanath ,IIT Delhi,australasia,mod,2002,http://www.cse.iitd.ac.in/~ramanath/
Naveen Garg ,IIT Delhi,australasia,act,1993,http://www.cse.iitd.ernet.in/~naveen/
Parag Singla ,IIT Delhi,australasia,ai,2005,http://www.cse.iitd.ac.in/~parags/
Preeti Ranjan Panda ,IIT Delhi,australasia,da,1997,http://www.cse.iitd.ernet.in/~panda/
Prem K. Kalra ,IIT Delhi,australasia,#N/A,#N/A,http://www.cse.iitd.ernet.in/~pkalra/
Prem Kumar Kalra ,IIT Delhi,australasia,vision,2014,http://www.cse.iitd.ernet.in/~pkalra/
Ragesh Jaiswal ,IIT Delhi,australasia,act,2006,http://www.cse.iitd.ernet.in/~rjaiswal/
Rahul Garg ,IIT Delhi,australasia,act,2004,http://www.cse.iitd.ernet.in/~rahulgarg/
S. Arun-Kumar ,IIT Delhi,australasia,log,2012,http://www.cse.iitd.ernet.in/~sak/
Sandeep Sen ,IIT Delhi,australasia,act,1986,http://www.cse.iitd.ac.in/~ssen/
Sanjiva Prasad ,IIT Delhi,australasia,comm,2007,http://www.cse.iitd.ernet.in/~sanjiva/
Saroj Kaushik ,IIT Delhi,australasia,ai,2007,http://www.cse.iitd.ernet.in/~saroj/
Sayan Ranu ,IIT Delhi,australasia,comm,2015,http://www.cse.iitd.ac.in/~sayan/
Smruti R. Sarangi ,IIT Delhi,australasia,arch,2005,http://www.cse.iitd.ac.in/~srsarangi/
Smruti Sarangi ,IIT Delhi,australasia,#N/A,#N/A,http://www.cse.iitd.ac.in/~srsarangi/
Sorav Bansal ,IIT Delhi,australasia,arch,2006,http://www.cse.iitd.ernet.in/~sbansal/
Subhashis Banerjee ,IIT Delhi,australasia,vision,1997,http://www.cse.iitd.ernet.in/~suban/
Subodh Kumar ,IIT Delhi,australasia,mod,2004,http://www.cse.iitd.ac.in/~subodh/
Subodh Sharma ,IIT Delhi,australasia,soft,2016,http://www.cse.iitd.ernet.in/~svs/
Subodh Vishnu Sharma ,IIT Delhi,australasia,#N/A,#N/A,http://www.cse.iitd.ernet.in/~svs/
Vinay J. Ribeiro ,IIT Delhi,australasia,comm,2000,http://www.cse.iitd.ernet.in/~vinay/
Anirban Dasgupta 0001 ,IIT Gandhinagar,australasia,act,2003,http://www.iitgn.ac.in/faculty/comp/anirban.htm
Bireswar Das ,IIT Gandhinagar,australasia,#N/A,#N/A,http://www.iitgn.ac.in/faculty/comp/bireswar.htm
Dinesh Garg ,IIT Gandhinagar,australasia,ai,2012,http://www.iitgn.ac.in/faculty/comp/dinesh.htm
Krishna P. Miyapuram ,IIT Gandhinagar,australasia,ai,2007,http://cogs.iitgn.ac.in/people/faculty/krishna-miyapuram/
Manoj Gupta ,IIT Gandhinagar,australasia,act,2011,http://www.iitgn.ac.in/faculty/comp/manoj.htm
Manu Awasthi ,IIT Gandhinagar,australasia,arch,2010,http://www.iitgn.ac.in/faculty/comp/manu.htm
Neeldhara Misra ,IIT Gandhinagar,australasia,act,2012,http://www.iitgn.ac.in/faculty/comp/neeldhara.htm
Shanmuganathan Raman ,IIT Gandhinagar,australasia,vision,2007,http://www.iitgn.ac.in/faculty/electrical/shanmuganathan.htm
Souradyuti Paul ,IIT Gandhinagar,australasia,#N/A,#N/A,http://www.iitgn.ac.in/faculty/comp/souradyuti.htm
A. Antony Franklin ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~antony/
Bheemarjuna Reddy Tamma ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~tbr/
C. Krishna Mohan ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~ckm/
Ch. Sobhan Babu ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~sobhan/
Chalavadi Krishna Mohan ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~ckm/
Kotaro Kataoka ,IIT Hyderabad,australasia,#N/A,#N/A,http://cse.iith.ac.in/profile/faculty/kotaro/
M. V. Panduranga Rao ,IIT Hyderabad,australasia,#N/A,#N/A,https://cse.iith.ac.in/?q=People/Faculty/
Manish Singh ,IIT Hyderabad,australasia,ai,2015,http://www.iith.ac.in/~msingh/
Manohar Kaul ,IIT Hyderabad,australasia,mod,2013,http://www.iith.ac.in/~mkaul/
Manu Kaul ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~mkaul/
Maunendra Sankar Desarkar ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~maunendra/
N. R. Aravind ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~aravind/
P. K. Srijith ,IIT Hyderabad,australasia,nlp,2015,https://cse.iith.ac.in/?q=People/Faculty/
Ramakrishna Upadrasta ,IIT Hyderabad,australasia,plan,2013,http://www.iith.ac.in/~ramakrishna/
Sathya Peri ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~sathya_p/
Saurabh Joshi 0001 ,IIT Hyderabad,australasia,plan,2012,http://www.iith.ac.in/~sbjoshi/
Sparsh Mittal ,IIT Hyderabad,australasia,hpc,2014,http://www.iith.ac.in/~sparsh/
Subrahmanyam Kalyanasundaram ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~subruk/
Tamma Bheemarjuna Reddy ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~tbr/
U. Ramakrishna ,IIT Hyderabad,australasia,#N/A,#N/A,http://www.iith.ac.in/~ramakrishna/
